,person_id,job
0,1,Hot lunch Assistant
1,2,Class Reps
2,3,recycling
3,4,Hot lunch Assistant
4,5,handouts
5,6,Free space (for now)
6,7,Free space (for now)
7,8,Duotang bins
8,9,Duotang bins
9,10,Tech assistant
10,11,Line Leader and Caboose
11,12,handouts
12,13,white board cleaner
13,14,Gym assistant
14,15,recycling
15,16,Gym assistant
16,17,Art supplies station
17,18,Cozy Corner cleaner
18,19,Class Reps
19,20,Art supplies station
20,21,Tech assistant
21,22,floor Sweeper
22,23,floor Sweeper
23,24,Line Leader and Caboose
24,25,Cozy Corner cleaner
